onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.34900834099994	3.05701894800006	initial_beads	12	18	7	n/a	n/a	n/a	-1.79961680670884	n/a
4.45912239799998	1.32136928800003	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.79961680670884	-1.92671863808989
7.33956392999994	0	additional_draw_allowed	12	19	7	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
8.53908183499993	0	terminate_draw	12	19	7	n/a	n/a	right	-1.79961680670884	n/a
9.05160694400001	0	bet	12	19	7	n/a	low	right	n/a	n/a
13.067935144	3.04578681399994	initial_beads	5	15	7	n/a	n/a	n/a	-1.89742428822289	n/a
16.888213277	0	bet	5	15	7	n/a	low	right	n/a	n/a
20.909636114	3.04957636899996	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
24.0043670499999	1.16150777000007	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.79961680670884	-1.92671863808989
25.722637396	0	additional_draw_allowed	12	19	70	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
26.432081769	0	terminate_draw	12	19	70	n/a	n/a	right	-1.79961680670884	n/a
26.890946029	0	bet	12	19	70	n/a	low	right	n/a	n/a
29.411081087	3.04601630900004	initial_beads	11	9	70	n/a	n/a	n/a	-1.39008283120292	n/a
33.122990997	0	bet	11	9	70	n/a	high	left	n/a	n/a
37.680667833	3.0460672879999	initial_beads	14	6	70	n/a	n/a	n/a	-1.86417958275177	n/a
40.76868251	1.19617938900001	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.86417958275177	-2.12751860353776
43.518988356	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-1.86417958275177	-2.12751860353776
44.1706975779999	0	terminate_draw	15	6	70	n/a	n/a	right	-1.86417958275177	n/a
44.622031707	0	bet	15	6	70	n/a	high	left	n/a	n/a
47.642206189	3.04946873099993	initial_beads	15	15	70	n/a	n/a	n/a	-0.908549141821781	n/a
51.236515438	1.18642896200004	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.908549141821781	-1.13178054515916
52.484919265	0	additional_draw_allowed	16	15	70	n/a	n/a	n/a	-0.908549141821781	-1.13178054515916
53.185554328	0	terminate_draw	16	15	70	n/a	n/a	left	-0.908549141821781	n/a
53.578771602	0	bet	16	15	70	n/a	high	left	n/a	n/a
